"id","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31,-5.1067,-6.2079,-6.4455,-6.4663,-6.4668,-6.4607,-6.0088,-6,-6,-6,-6,-6,-5.1067,-6.2079,-6.4455,-6.4663,-6.4668,-6.4607,-6.0088,-6,-6,-6,-6,-6,0.0218999999999996,0.00389999999999979,-0.00349999999999984,-0.00470000000000059,-0.00480000000000036,-0.00450000000000017,-0.000399999999999956,0,0,0,0,0,0.118365102605843,0.159896348895061,0.0117593595784137,0.000285799618154171,-0.000349205593604092,0.00267497068206772,-0.00215999999999976,0,0,0,0,0,-7.12683549934097e-07,-0.00141134421102491,-0.000297181459173668,-0.000245664460541007,-0.000244516622320742,-0.000258805497636198,0,0,0,0,0,0
32,-5.0855,-6.2036,-6.4487,-6.4708,-6.4712,-6.465,-6.0092,-6,-6,-6,-6,-6,-5.0855,-6.2036,-6.4487,-6.4708,-6.4712,-6.465,-6.0092,-6,-6,-6,-6,-6,0.0212000000000003,0.00430000000000064,-0.00319999999999965,-0.00449999999999928,-0.00439999999999952,-0.00429999999999975,-0.000399999999999956,0,0,0,0,0,0.114551268354995,0.164354421102494,0.0124381459173687,0.000266446054104592,0.000691662232076861,0.00266054976362113,-0.00215999999999976,0,0,0,0,0,-4.84824072491956e-07,-0.00143661413920234,-0.00028876695948888,-0.000235482318343358,-0.000234593306449869,-0.000248668275374037,0,0,0,0,0,0
33,-5.065,-6.199,-6.4517,-6.4752,-6.4754,-6.4691,-6.0096,-6,-6,-6,-6,-6,-5.065,-6.199,-6.4517,-6.4752,-6.4754,-6.4691,-6.0096,-6,-6,-6,-6,-6,0.0204999999999993,0.00459999999999994,-0.00300000000000011,-0.0044000000000004,-0.00419999999999998,-0.00410000000000021,-0.000399999999999956,0,0,0,0,0,0.110748482407245,0.168501413920234,0.0126766959488874,-0.000211768165666367,0.000779330644987001,0.00272682753740249,-0.00215999999999976,0,0,0,0,0,-3.31180238465503e-07,-0.00145509031849311,-0.000281042361330096,-0.000225845776547748,-0.000225415163223295,-0.000239289777651903,0,0,0,0,0,0
34,-5.0452,-6.1958,-6.4544,-6.4794,-6.4796,-6.473,-6.01,-6,-6,-6,-6,-6,-5.0452,-6.1958,-6.4544,-6.4794,-6.4796,-6.473,-6.01,-6,-6,-6,-6,-6,0.0198,0.00319999999999965,-0.00269999999999992,-0.00419999999999998,-0.00419999999999998,-0.00389999999999979,-0.000399999999999956,0,0,0,0,0,0.106953118023847,0.162789031849309,0.01352423613301,-9.54223452251423e-05,-0.000138483677670415,0.00286897776519143,-0.00215999999999976,0,0,0,0,0,-2.27359570219117e-07,-0.00144457945117904,-0.000274224658707417,-0.00021693663829497,-0.000216519357875631,-0.000230624930335994,0,0,0,0,0,0
35,-5.0261,-6.1904,-6.4569,-6.4834,-6.4837,-6.4768,-6.0104,-6,-6,-6,-6,-6,-5.0261,-6.1904,-6.4569,-6.4834,-6.4837,-6.4768,-6.0104,-6,-6,-6,-6,-6,0.0191000000000008,0.00539999999999985,-0.00250000000000039,-0.00399999999999956,-0.00410000000000021,-0.00380000000000003,-0.000399999999999956,0,0,0,0,0,0.103162735957026,0.173617945117904,0.0139224658707396,9.36638294993766e-05,-0.000488064212438094,0.00254249303359923,-0.00215999999999976,0,0,0,0,0,-1.56997817806097e-07,-0.00143397213754503,-0.000268024523400651,-0.000208709917894149,-0.000208102943586902,-0.000222418766947154,0,0,0,0,0,0
36,-5.0076,-6.1848,-6.4593,-6.4872,-6.4876,-6.4804,-6.0108,-6,-6,-6,-6,-6,-5.0076,-6.1848,-6.4593,-6.4872,-6.4876,-6.4804,-6.0108,-6,-6,-6,-6,-6,0.0184999999999995,0.00560000000000027,-0.00239999999999974,-0.00380000000000003,-0.00389999999999979,-0.00360000000000049,-0.000399999999999956,0,0,0,0,0,0.099915699781778,0.173637213754504,0.0138424523400666,0.000350991789414734,-0.000249705641308679,0.00280187669471278,-0.00215999999999976,0,0,0,0,0,-1.08915390143138e-07,-0.00142350473652435,-0.000262173345901433,-0.000201123795904288,-0.00020033809304184,-0.000214856520645006,0,0,0,0,0,0
37,-4.9896,-6.1789,-6.4614,-6.4908,-6.4913,-6.4838,-6.0112,-6,-6,-6,-6,-6,-4.9896,-6.1789,-6.4614,-6.4908,-6.4913,-6.4838,-6.0112,-6,-6,-6,-6,-6,0.0179999999999998,0.00590000000000046,-0.00210000000000043,-0.00360000000000049,-0.00370000000000026,-0.00339999999999918,-0.000399999999999956,0,0,0,0,0,0.0972108915390132,0.174210473652437,0.014877334590141,0.000672379590426184,5.38093041825648e-05,0.00312565206450503,-0.00215999999999976,0,0,0,0,0,-7.58068916108445e-08,-0.00141317597793647,-0.000257134035151729,-0.000194139500641811,-0.000193184858193159,-0.000207900927808099,0,0,0,0,0,0
38,-4.9722,-6.1728,-6.4635,-6.4942,-6.4948,-6.4872,-6.0116,-6,-6,-6,-6,-6,-4.9722,-6.1728,-6.4635,-6.4942,-6.4948,-6.4872,-6.0116,-6,-6,-6,-6,-6,0.0174000000000003,0.00609999999999999,-0.00209999999999955,-0.00340000000000007,-0.00349999999999984,-0.00340000000000007,-0.000399999999999956,0,0,0,0,0,0.0939675806891627,0.174257597793647,0.0143734035151754,0.00105395006418069,0.000418485819316813,0.00243009278080948,-0.00215999999999976,0,0,0,0,0,-5.30743953575403e-08,-0.00140298335162385,-0.000252169244267666,-0.000187721184730581,-0.000186606271844485,-0.000201123795904288,0,0,0,0,0,0
39,-4.9553,-6.1665,-6.4653,-6.4976,-6.4983,-6.4904,-6.012,-6,-6,-6,-6,-6,-4.9553,-6.1665,-6.4653,-6.4976,-6.4983,-6.4904,-6.012,-6,-6,-6,-6,-6,0.0168999999999997,0.00629999999999953,-0.00180000000000025,-0.00340000000000007,-0.00350000000000072,-0.00320000000000054,-0.000399999999999956,0,0,0,0,0,0.0912653074395341,0.174318335162383,0.0154969244267652,0.000412118473057754,-0.000239372815555419,0.00283237959042595,-0.00215999999999976,0,0,0,0,0,-3.73232688059821e-08,-0.0013929250167629,-0.00024797259090289,-0.000181472910892553,-0.000180207353991563,-0.000194905905246649,0,0,0,0,0,0
40,-4.9389,-6.1601,-6.467,-6.5008,-6.5016,-6.4934,-6.0124,-6,-6,-6,-6,-6,-4.9389,-6.1601,-6.467,-6.5008,-6.5016,-6.4934,-6.0124,-6,-6,-6,-6,-6,0.0164,0.00640000000000018,-0.00169999999999959,-0.00319999999999965,-0.00329999999999941,-0.00300000000000011,-0.000400000000000844,0,0,0,0,0,0.0885637323268804,0.173852501676291,0.0156172590902912,0.000867291089257182,0.0002007353991595,0.00329059052466425,-0.00216000000000456,0,0,0,0,0,-2.63762982350031e-08,-0.00138299855268716,-0.000244058646900928,-0.000175745002159917,-0.000174335895995116,-0.000189215975325764,0,0,0,0,0,0
